transcript	GSK_rep1	GSK_rep2	LLY_rep1	LLY_rep2
L1FLnI_10p11.22u	9435	9446	11007	9011
L1FLnI_12q13.11a	3401	5226	4862	4968
L1FLnI_12q23.3d	3288	3435	3435	3394
L1FLnI_Xq13.1a	3271	3685	5253	3794
L1FLnI_Xq23d	3015	4023	6648	4023
L1FLnI_Xq13.3pa	2649	5086	4205	4997
L1FLnI_14q32.12f	2457	1935	2280	2008
L1FLnI_3q21.1c	1882	1424	2210	1284
L1FLnI_6p22.3e	1730	3125	4432	3239
L1FLnI_2q32.1f	1642	1499	3289	1671
L1FLnI_8q24.12o	1554	1341	2133	1545
L1FLnI_Xq28sa	1510	1293	2027	1174
L1FLnI_8q23.1b	1467	2205	2045	1793
L1FLnI_9q22.32c	1352	624	1306	601
L1FLnI_18q21.32b	1206	1009	1616	1021
L1FLnI_1p31.1rc	1191	1780	2409	1772
L1FLnI_6q24.2g	1144	1082	1749	1212
L1FLnI_6q25.3e	1115	1169	1680	1157
L1FLnI_1q24.3e	1106	924	1251	918
L1FLnI_6q21f	1076	1390	1396	1277
L1FLnI_1p22.1d	1076	1747	1408	1488
L1FLnI_4q35.2k	1051	1170	1899	1058
L1FLnI_12p13.32g	1048	950	1487	890
L1FLnI_5q33.1a	1028	1199	1210	1029
L1FLnI_20q13.13	1003	689	1315	664
L1FLnI_8p23.1h	984	612	1262	587
L1FLnI_3q26.32p	966	455	1012	405
L1FLnI_6q15i	910	664	1092	556
L1FLnI_Xq23ab	864	570	1303	494
L1FLnI_20p11.23d	861	486	725	420
L1FLnI_9p11.2d	860	785	1446	728
L1FLnI_Xq23bb	853	434	1153	380
L1FLnI_13q34a	821	528	876	493
L1FLnI_5p13.2v	812	862	1384	831
L1FLnI_1q32.2g	796	789	1112	672
L1FLnI_19q13.11a	762	741	1377	791
L1FLnI_4q31.1e	746	466	1032	468
L1FLnI_14q11.2j	741	1032	1038	811
L1FLnI_5p12k	725	448	980	466
L1FLnI_10p12.33a	720	1024	1226	989
L1FLnI_2q11.1b	712	595	819	584
L1FLnI_10q22.2e	709	268	856	232
L1FLnI_6q22.1ka	681	929	1069	900
L1FLnI_3q13.33d	680	744	794	711
L1FLnI_14q11.2c	678	693	1001	686
L1FLnI_1q21.2f	670	841	882	668
L1FLnI_1q32.1k	667	569	1443	517
L1FLnI_15q22.2a	644	904	741	761
L1FLnI_15q11.1f	624	407	802	345
L1FLnI_19q13.31b	622	755	986	728
L1FLnI_3q12.1c	608	798	882	761
L1FLnI_10q26.12g	597	465	793	470
L1FLnI_15q11.1e	593	599	976	470
L1FLnI_4q13.2o	577	406	997	457
L1FLnI_6q14.1ia	567	479	1024	473
L1FLnI_15q11.2h	565	608	1060	487
L1FLnI_7q33b	554	595	727	531
L1FLnI_20q11.22	544	376	661	318
L1FLnI_7p15.3g	543	285	675	253
L1FLnI_Xq25q	542	450	844	428
L1FLnI_7q22.1f	540	365	954	386
L1FLnI_3q26.2a	530	497	1135	519
L1FLnI_2q14.1ga	521	502	790	514
L1FLnI_12p11.23e	508	421	896	413
L1FLnI_3p21.2m	506	613	771	609
L1FLnI_10q22.2f	506	201	731	187
L1FLnI_4q12eb	493	443	770	492
L1FLnI_2p13.1a	493	402	699	345
L1FLnI_9p21.1z	491	297	614	253
L1FLnI_14q11.2d	485	545	902	534
L1FLnI_22q11.1c	484	371	589	401
L1FLnI_10q22.2g	480	245	603	168
L1FLnI_16p11.2l	476	474	942	549
L1FLnI_8q24.13n	476	520	574	354
L1FLnI_10q25.3l	474	527	658	387
L1FLnI_18p11.22g	467	628	692	696
L1FLnI_6q25.3i	463	377	538	327
L1FLnI_2q36.2	459	575	666	575
L1FLnI_7p15.3e	459	492	650	525
L1FLnI_8q22.3j	455	512	579	427
L1FLnI_12q21.31ea	454	434	728	441
L1FLnI_2p13.2a	453	337	728	313
L1FLnI_9q13d	445	582	575	495
L1FLnI_1p34.2b	443	170	707	131
L1FLnI_16p12.2b	432	639	576	548
L1FLnI_2q11.2e	432	211	851	221
L1FLnI_1p32.3h	428	373	467	285
L1FLnI_8p21.2m	421	272	470	306
L1FLnI_Xq21.1pc	410	370	539	341
L1FLnI_11q22.2a	407	492	791	438
L1FLnI_1q42.12a	407	273	953	301
L1FLnI_15q23j	407	643	839	668
